trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9987502603949663}",25,0,-97.14722560113437,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9950041652780257}",30,0,-139.9207118661595,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9887710779360422}",20,0,-74.16461604286286,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9800665778412416}",25,0,-127.74523649464888,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9689124217106447}",20,0,-57.96912113982036,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.955336489125606}",20,13,-21.269580536306886,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9393727128473789}",25,0,-120.27619917156296,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.9210609940028851}",20,0,-54.30744385602748,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9004471023526769}",20,0,-91.67806092593462,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8775825618903728}",30,0,-118.15368617521769,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.8525245220595057}",25,11,-62.5722107811762,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.2, 'e': 0.8253356149096782}",25,13,-35.98701998821368,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.7960837985490559}",25,0,-158.50265465300765,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.7648421872844884}",20,0,-40.90779722066654,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.7316888688738209}",20,11,-18.513886342158667,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.6967067093471655}",20,0,-121.74539639072425,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.6599831458849822}",20,6,-39.15483287429504,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.2, 'e': 0.6216099682706645}",25,0,-121.53211314037829,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
19,False,"{'a': 0.2, 'e': 0.5816830894638835}",25,17,-7.8139572902164165,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.5403023058681398}",30,2,-87.21782595761613,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 2}",1
21,False,"{'a': 0.2, 'e': 0.497571047891727}",30,0,-153.6332425882316,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.2, 'e': 0.4535961214255773}",25,0,-73.43583381627715,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.40848744088415717}",25,4,-30.13863103660483,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.3623577544766734}",30,11,32.17744735252498,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.3153223623952687}",30,8,-4.962032720658648,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.26749882862458735}",30,13,-39.673555840161384,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
27,False,"{'a': 0.2, 'e': 0.2190066870930415}",20,0,32.67635087432261,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.16996714290024081}",20,11,6.7670400674728475,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.12050276936736638}",25,9,-3.8628545882274317,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.0707372016677029}",20,10,18.41610541088547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.02079482780309243}",25,15,18.71276891272487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,30.0837040907646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,12,36.86144579087039,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,20,19.744940307656776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,30.02413966715906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,19.81148090016691,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,18.350697520357986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,15.310971556508346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,15.977285104804444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,20.40799680089872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,20.726257525204225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,13,21.388643080149446,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,12,12.812908543151062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,19,13.239554272428514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,12,27.839803272376248,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,6,37.910010410892895,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,13,16.285580813891226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,15,8.212711996581426,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,16,17.254118067021576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,12,25.971697439162767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,16,28.289543959118387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
