trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.29993263902611,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.23531750699178,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.74254101765035,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.2125323123231,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.21045277293626,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.13997922004512,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.04052793512582,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.04997915912452,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,5,-71.15591397235622,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.39834368248532,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.461109478285987,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.24126404337429,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.08630277800782,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.56583290928955,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.70867590227797,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.98078849237848,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,16,5.975478579581783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.0702268232103,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.58742417099688,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.02588422584567,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.4629639232417,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.30919650576055,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.47920648886173,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
